Date,Total Revenue,Cost of Revenue,Gross Profit,Premium Revenue,Premium Cost Revenue,Premium Gross Profit,Premium Revenue Share,Profit Gross Margin,Ad Revenue,Ad Cost of revenue,Ad gross Profit,Ad Revenue Share,Ad Gross Margin,MAUs,Premium MAUs,Ad MAUs,Premium ARPU,Ad ARPU,Conversion Rate,Sales and Marketing Cost,Research and Development Cost,General and Adminstrative Cost,Operational Efficiency Ratio
31-03-2023,3042,2276,776,2713,1937,776,0.89,0.29,329,339,-10,0.11,-0.03,515,210,317,4.32,1.04,0.41,347,435,140,0.95
31-12-2022,3166,2365,801,2717,1939,778,0.86,0.29,449,426,23,0.14,0.05,489,205,295,4.55,1.52,0.42,453,415,164,0.93
30-09-2022,3036,2286,750,2651,1908,743,0.87,0.28,385,378,7,0.13,0.02,456,195,273,4.63,1.41,0.43,432,386,160,0.93
30-06-2022,2864,2160,704,2504,1804,700,0.87,0.28,360,356,4,0.13,0.01,433,188,265,4.54,1.36,0.43,391,336,171,0.94
31-03-2022,2661,1990,671,2379,1704,675,0.89,0.28,282,286,-4,0.11,-0.01,422,182,252,4.38,1.12,0.43,296,250,131,1.00
31-12-2021,2689,1977,712,2295,1625,670,0.85,0.29,394,352,42,0.15,0.11,406,180,236,4.4,1.67,0.44,340,253,126,1.00
30-09-2021,2501,1833,668,2178,1545,633,0.87,0.29,323,288,35,0.13,0.11,381,172,220,4.34,1.47,0.45,280,208,105,1.03
30-06-2021,2331,1668,663,2056,1423,633,0.88,0.31,275,245,30,0.12,0.11,365,165,210,4.29,1.31,0.45,279,255,117,1.01
31-03-2021,2147,1599,548,1931,1393,538,0.90,0.28,216,206,10,0.10,0.05,356,158,208,4.12,1.04,0.44,236,196,102,1.01
31-12-2020,2168,1593,575,1887,1342,545,0.87,0.29,281,251,30,0.13,0.11,345,155,199,4.26,1.41,0.45,294,232,118,0.97
30-09-2020,1975,1486,489,1790,1302,488,0.91,0.27,185,184,1,0.09,0.01,320,144,185,4.19,1.00,0.45,256,176,97,0.98
30-06-2020,1889,1410,479,1758,1263,495,0.93,0.28,131,147,-16,0.07,-0.12,299,138,170,4.41,0.77,0.46,248,267,131,0.92
31-03-2020,1848,1376,472,1700,1219,481,0.92,0.28,148,157,-9,0.08,-0.06,286,130,163,4.42,0.91,0.45,231,162,96,0.99
31-12-2019,1855,1381,474,1638,1189,449,0.88,0.27,217,192,25,0.12,0.12,271,124,153,4.65,1.42,0.46,276,173,102,0.96
30-09-2019,1731,1290,441,1561,1142,419,0.90,0.27,170,148,22,0.10,0.13,248,113,141,4.67,1.21,0.46,178,136,73,1.03
30-06-2019,1667,1233,434,1502,1089,413,0.90,0.27,165,144,21,0.10,0.13,232,108,129,4.86,1.28,0.47,200,151,86,1.00
31-03-2019,1511,1138,373,1385,1023,362,0.92,0.26,126,115,11,0.08,0.09,217,100,123,4.71,1.02,0.46,172,155,93,0.97
31-12-2018,1495,1096,399,1320,959,361,0.88,0.27,175,147,28,0.12,0.16,207,96,116,4.89,1.51,0.46,163,100,42,1.07
30-09-2018,1352,1010,342,1210,894,316,0.89,0.26,142,116,26,0.11,0.18,191,87,109,4.73,1.30,0.46,146,135,67,1.00
30-06-2018,1273,944,329,1150,841,309,0.90,0.27,123,103,20,0.10,0.16,180,83,101,4.89,1.22,0.46,173,143,103,0.93
31-03-2018,1139,856,283,1037,767,270,0.91,0.26,102,89,13,0.09,0.13,170,75,99,4.72,1.03,0.44,138,115,71,0.97
31-12-2017,1449,867,582,1018,761,257,0.70,0.25,130,106,24,0.09,0.18,160,71,93,5.24,1.40,0.44,173,123,73,1.17
30-09-2017,1032,802,230,923,711,212,0.89,0.23,109,91,18,0.11,0.17,150,62,91,5.06,1.20,0.41,138,98,67,0.93
30-06-2017,1007,775,232,904,686,218,0.90,0.24,103,89,14,0.10,0.14,138,59,83,5.53,1.24,0.43,146,95,70,0.93
31-03-2017,902,797,105,828,710,118,0.92,0.14,74,87,-13,0.08,-0.18,131,52,82,5.46,0.90,0.40,110,80,54,0.87
